size,sizeNext,surv,days,id
1.336,2.824,1,3,temp
2.824,29.728,1,3,temp
29.728,82.6,1,3,temp
82.6,3310.352,1,3,temp
3310.352,1230.768,1,3,temp
1230.768,6946.824,1,3,temp
6946.824,97.248,1,3,temp
97.248,598.536,1,3,temp
598.536,123.248,1,3,temp
123.248,9.704,1,3,temp
9.704,4.88,1,3,temp
4.88,0.616,1,3,temp
0.616,0.0,1,3,temp
0.0,3898.496,1,3,temp
3898.496,0.0,1,3,temp
0.0,,0,3,temp
0.0,2.816,1,3,temp
2.816,0.0,1,3,temp
0.0,54.112,1,3,temp
54.112,2104.048,1,3,temp
2104.048,4683.568,1,3,temp
4683.568,1406.488,1,3,temp
1406.488,274.592,1,3,temp
274.592,8.88,1,3,temp
8.88,2.648,1,3,temp
2.648,1.712,1,3,temp
1.712,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,1.296,1,3,temp
1.296,0.968,1,3,temp
0.968,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,,0,3,temp
0.0,0.0,1,3,temp
0.0,8.128,1,3,temp
8.128,102.592,1,3,temp
102.592,211.92,1,3,temp
211.92,2229.288,1,3,temp
2229.288,589.112,1,3,temp
589.112,613.928,1,3,temp
613.928,218.624,1,3,temp
218.624,11.328,1,3,temp
11.328,13.56,1,3,temp
13.56,16.528,1,3,temp
16.528,7.088,1,3,temp
7.088,1.024,1,3,temp
1.024,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,,0,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,5.032,1,3,temp
5.032,35.256,1,3,temp
35.256,0.0,1,3,temp
0.0,4.168,1,3,temp
4.168,0.0,1,3,temp
0.0,1.392,1,3,temp
1.392,1.568,1,3,temp
1.568,10.28,1,3,temp
10.28,79.944,1,3,temp
79.944,835.72,1,3,temp
835.72,2656.968,1,3,temp
2656.968,10526.128,1,3,temp
10526.128,56412.248,1,3,temp
56412.248,20.44,1,3,temp
20.44,2832.432,1,3,temp
2832.432,,0,3,temp
0.0,0.0,1,3,temp
0.0,0.664,1,3,temp
0.664,0.0,1,3,temp
0.0,9.088,1,3,temp
9.088,38.696,1,3,temp
38.696,408.672,1,3,temp
408.672,868.048,1,3,temp
868.048,928.176,1,3,temp
928.176,684.2,1,3,temp
684.2,840.448,1,3,temp
840.448,10.936,1,3,temp
10.936,4.672,1,3,temp
4.672,16.048,1,3,temp
16.048,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,,0,3,temp
